,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
345,480,1,1,2,1,1,2
346,482,1,1,1,1,1,2
347,483,1,1,1,1,1,1
348,540,1,1,1,1,1,1
349,600,1,1,1,1,1,1
350,660,1,1,1,1,1,1
351,720,1,1,1,1,1,1
352,735,2,1,1,1,1,1
353,780,2,1,1,1,1,1
354,810,1,1,1,1,1,1
355,840,1,1,1,1,1,1
356,900,1,1,1,1,1,1
357,960,1,1,1,1,1,1
358,990,1,1,2,1,1,1
359,991,1,1,2,2,1,1
360,994,1,1,2,2,1,1
361,1020,1,1,2,2,1,1
362,1022,2,1,2,2,1,1
363,1023,2,1,2,2,1,2
364,1060,2,2,2,2,1,2
365,1060,2,2,2,2,2,2
366,1080,2,2,2,2,2,2
367,1140,2,2,2,2,2,2
368,1200,2,2,2,2,2,2
369,1260,2,2,2,2,2,2
370,1321,2,2,1,2,2,2
371,1322,1,2,1,2,2,2
372,1322,1,2,1,2,2,2
373,1321,2,2,1,2,2,2
374,1323,1,2,1,1,2,2
375,1323,1,2,1,1,2,2
376,1381,1,2,1,1,2,2
377,0,1,2,1,1,2,2
378,60,1,2,1,1,2,2
379,120,1,2,1,1,2,2
380,180,1,2,1,1,2,2
381,240,1,2,1,1,2,2
382,300,1,2,1,1,2,2
383,302,1,2,2,1,2,2
384,303,2,2,2,1,2,2
385,360,2,2,2,1,1,2
386,420,2,2,2,1,1,2
387,450,2,1,2,1,1,2
388,451,1,1,2,1,1,2
389,480,1,1,2,1,1,2
390,482,1,1,1,1,1,2
391,483,1,1,1,1,1,1
392,540,1,1,1,1,1,1
393,600,1,1,1,1,1,1
394,660,1,1,1,1,1,1
395,720,1,1,1,1,1,1
396,780,1,1,1,1,1,1
397,787,2,1,1,1,1,1
398,817,1,1,1,1,1,1
399,840,1,1,1,1,1,1
400,900,1,1,1,1,1,1
401,960,1,1,1,1,1,1
402,993,1,1,2,1,1,1
403,993,1,1,2,2,1,1
404,1020,1,1,2,2,1,1
405,1023,2,1,2,2,1,1
406,1023,2,1,2,2,1,2
407,1065,2,2,2,2,1,2
408,1065,2,2,2,2,2,2
409,1080,2,2,2,2,2,2
410,1140,2,2,2,2,2,2
411,1200,2,2,2,2,2,2
412,1260,2,2,2,2,2,2
413,1320,2,2,2,2,2,2
414,1320,2,2,1,2,2,2
415,1321,2,2,1,1,2,2
416,1321,1,2,1,1,2,2
417,1380,1,2,1,1,2,2
418,0,1,2,1,1,2,2
419,60,1,2,1,1,2,2
420,120,1,2,1,1,2,2
421,180,1,2,1,1,2,2
422,240,1,2,1,1,2,2
423,300,1,2,1,1,2,2
424,302,1,2,2,1,2,2
425,303,2,2,2,1,2,2
426,360,2,2,2,1,2,2
427,361,2,2,2,1,1,2
428,420,2,2,2,1,1,2
429,454,2,1,2,1,1,2
430,454,1,1,2,1,1,2
431,480,1,1,2,1,1,2
432,484,1,1,1,1,1,2
433,484,1,1,1,1,1,1
434,540,1,1,1,1,1,1
435,600,1,1,1,1,1,1
436,660,1,1,1,1,1,1
437,720,1,1,1,1,1,1
438,736,2,1,1,1,1,1
439,780,2,1,1,1,1,1
440,811,1,1,1,1,1,1
441,840,1,1,1,1,1,1
442,900,1,1,1,1,1,1
443,960,1,1,1,1,1,1
444,991,1,1,2,1,1,1
445,992,1,1,2,2,1,1
446,1020,1,1,2,2,1,1
447,1023,2,1,2,2,1,1
448,1023,2,1,2,2,1,2
449,1060,2,2,2,2,1,2
450,1062,2,2,2,2,2,2
451,1080,2,2,2,2,2,2
452,1140,2,2,2,2,2,2
453,1200,2,2,2,2,2,2
454,1260,2,2,2,2,2,2
455,1320,2,2,2,2,2,2
456,1321,2,2,1,2,2,2
457,1322,2,2,1,1,2,2
458,1323,1,2,1,1,2,2
459,1380,1,2,1,1,2,2
460,0,1,2,1,1,2,2
461,60,1,2,1,1,2,2
462,120,1,2,1,1,2,2
463,180,0,0,0,0,0,0
464,240,1,2,1,1,2,2
465,300,1,2,1,1,2,2
466,301,1,2,2,1,2,2
467,302,2,2,2,1,2,2
468,360,2,2,2,1,2,2
469,361,2,2,2,1,1,2
470,420,2,2,2,1,1,2
471,451,2,1,2,1,1,2
472,452,1,1,2,1,1,1
473,480,1,1,2,1,1,1
474,481,1,1,1,1,1,1
475,540,1,1,1,1,1,1
476,600,1,1,1,1,1,1
477,660,1,1,1,1,1,1
478,720,1,1,1,1,1,1
479,744,2,1,1,1,1,1
480,780,2,1,1,1,1,1
481,838,1,1,1,1,1,1
482,839,1,1,1,1,1,1
483,840,1,1,1,1,1,1
484,900,1,1,1,1,1,1
485,960,1,1,1,1,1,1
486,1000,1,1,2,1,1,1
487,1000,1,1,2,2,1,1
488,1020,1,1,2,2,1,1
489,1023,2,1,2,2,1,1
490,1024,2,1,2,2,1,2
491,1062,2,2,2,2,1,2
492,1063,2,2,2,2,2,2
493,1080,2,2,2,2,2,2
494,1140,2,2,2,2,2,2
495,1200,2,2,2,2,2,2
496,1260,2,2,2,2,2,2
497,1320,2,2,2,2,2,2
498,1380,1,2,1,1,2,2
499,0,1,2,1,1,2,2
500,60,1,2,1,1,2,2
501,120,1,2,1,1,2,2
502,180,1,2,1,1,2,2
503,240,1,2,1,1,2,2
504,300,1,2,1,1,2,2
505,301,1,2,2,1,2,2
506,303,2,2,2,1,2,2
507,360,1,2,2,1,1,2
508,420,2,2,2,1,1,2
509,450,2,1,2,1,1,2
510,451,1,1,2,1,1,2
511,480,1,1,2,1,1,2
512,480,1,1,2,1,1,2
513,481,1,1,1,1,1,2
514,483,1,1,1,1,1,1
515,540,1,1,1,1,1,1
516,600,1,1,1,1,1,1
517,660,1,1,1,1,1,1
518,720,1,1,1,1,1,1
519,736,2,1,1,1,1,1
520,780,2,1,1,1,1,1
521,811,1,1,1,1,1,1
522,840,1,1,1,1,1,1
